Gait Up - Physilog data export
Created on: 0000-00-03 23:03:49
Total data points: 1324

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Event,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[],[],[],[],[],
33.12500,3.07465,-9.32693,-1.44577,-0.11816,1.01788,0.00952,,0.76070,-0.06636,-0.38045,-0.52171,
33.13281,2.43759,-9.43756,-1.70517,-0.11871,1.01770,0.01337,,0.76040,-0.06650,-0.38105,-0.52170,
33.14063,2.00272,-9.28879,-1.88828,-0.11377,1.01843,0.01453,,0.76009,-0.06665,-0.38162,-0.52172,
33.14844,1.67084,-9.02557,-2.26212,-0.11432,1.01190,0.01862,,0.75977,-0.06679,-0.38217,-0.52176,
33.15625,1.31989,-8.20160,-3.03268,-0.12097,1.01532,0.01276,,0.75945,-0.06691,-0.38267,-0.52185,
33.16406,1.53732,-7.54929,-3.27682,-0.12463,1.02130,0.00635,,0.75913,-0.06698,-0.38314,-0.52196,
33.17188,0.48447,-6.37054,-3.33023,-0.12152,1.02643,0.00055,,0.75884,-0.06707,-0.38351,-0.52210,
33.17969,1.14822,-6.72531,-3.46756,-0.11548,1.01282,-0.00220,,0.75853,-0.06713,-0.38393,-0.52223,
33.18750,1.03378,-6.73294,-3.37219,-0.11133,1.00995,-0.00549,,0.75823,-0.06720,-0.38434,-0.52235,
33.19531,1.01089,-6.65665,-3.34930,-0.09998,1.00226,-0.00177,,0.75793,-0.06726,-0.38475,-0.52248,
33.20313,0.76294,-6.22559,-3.41797,-0.09546,1.00323,-0.00336,,0.75764,-0.06733,-0.38513,-0.52261,
33.21094,0.82397,-5.90897,-3.33786,-0.09814,1.00171,-0.00336,,0.75736,-0.06738,-0.38549,-0.52275,
33.21875,0.54550,-5.27954,-3.16620,-0.10358,1.00146,-0.00262,,0.75710,-0.06743,-0.38581,-0.52288,
33.22656,0.69427,-4.84085,-3.34930,-0.10406,1.00397,0.00122,,0.75685,-0.06745,-0.38611,-0.52302,
33.23438,0.71335,-4.60434,-3.37219,-0.10431,1.00562,0.00055,,0.75660,-0.06746,-0.38640,-0.52316,
33.24219,0.91553,-4.13513,-3.36838,-0.10974,1.01666,-0.00446,,0.75636,-0.06744,-0.38668,-0.52330,
33.25000,1.36948,-5.13077,-2.86484,-0.11572,1.01697,-0.00922,,0.75612,-0.06745,-0.38702,-0.52340,
33.25781,1.69373,-5.27573,-2.38037,-0.11310,1.01208,-0.00763,,0.75590,-0.06746,-0.38737,-0.52346,
33.26563,1.93405,-4.85229,-2.21634,-0.10510,1.01459,-0.01666,,0.75569,-0.06744,-0.38771,-0.52351,
33.27344,1.77383,-4.76456,-1.86157,-0.10858,1.01013,-0.01575,,0.75549,-0.06744,-0.38804,-0.52355,
33.28125,2.06375,-5.05829,-1.60980,-0.10175,1.00464,-0.01093,,0.75530,-0.06745,-0.38840,-0.52356,
33.28906,2.14767,-5.50079,-1.55640,-0.10376,1.00763,-0.00513,,0.75510,-0.06746,-0.38878,-0.52357,
33.29688,1.97601,-5.07355,-1.65176,-0.11737,1.01300,0.00165,,0.75491,-0.06747,-0.38913,-0.52359,
33.30469,1.96838,-5.41687,-1.94168,-0.11877,1.00989,0.00494,,0.75469,-0.06748,-0.38950,-0.52362,
33.31250,1.80817,-5.46265,-2.11334,-0.11353,1.01019,0.00708,,0.75447,-0.06750,-0.38987,-0.52366,
33.32031,1.77383,-5.13458,-2.10953,-0.11371,1.01666,0.00098,,0.75426,-0.06750,-0.39022,-0.52371,
33.32813,1.94931,-4.59290,-2.04849,-0.11890,1.01648,-0.00317,,0.75406,-0.06748,-0.39054,-0.52375,
33.33594,2.05231,-4.61960,-2.23541,-0.12048,1.01587,-0.00409,,0.75386,-0.06745,-0.39088,-0.52380,
33.34375,2.02942,-5.35583,-2.37656,-0.11865,1.01147,-0.00458,,0.75363,-0.06745,-0.39125,-0.52385,
33.35156,1.69373,-4.73404,-2.13623,-0.11597,1.01758,-0.00928,,0.75342,-0.06744,-0.39157,-0.52391,
33.35938,1.50299,-4.70352,-1.94931,-0.11938,1.01709,-0.00616,,0.75322,-0.06745,-0.39189,-0.52395,
33.36719,1.51062,-5.36346,-2.27737,-0.11469,1.01556,-0.00305,,0.75300,-0.06748,-0.39224,-0.52401,
33.37500,1.46484,-5.22995,-2.22397,-0.10590,1.01904,0.00073,,0.75277,-0.06750,-0.39259,-0.52407,
33.38281,1.33514,-4.97437,-2.17819,-0.10632,1.01880,0.00098,,0.75256,-0.06752,-0.39291,-0.52414,
33.39063,1.02234,-4.12750,-2.65884,-0.11322,1.01727,0.00189,,0.75235,-0.06752,-0.39318,-0.52424,
33.39844,0.75150,-3.58200,-2.94495,-0.11890,1.01154,0.00354,,0.75214,-0.06750,-0.39342,-0.52436,
33.40625,0.69809,-3.23486,-3.05557,-0.12048,1.01263,0.00537,,0.75194,-0.06747,-0.39364,-0.52449,
33.41406,0.53406,-2.68173,-3.08228,-0.12494,1.01514,0.00159,,0.75175,-0.06742,-0.39382,-0.52463,
33.42188,0.48828,-2.70462,-3.23105,-0.12415,1.01459,-0.00159,,0.75155,-0.06738,-0.39400,-0.52478,
33.42969,0.52643,-2.88010,-3.34167,-0.12183,1.01465,-0.00555,,0.75134,-0.06734,-0.39420,-0.52493,
33.43750,0.12589,-2.65884,-2.96783,-0.12360,1.01184,-0.00696,,0.75116,-0.06732,-0.39436,-0.52508,
33.44531,0.19455,-3.15094,-2.96021,-0.12500,1.00909,-0.00568,,0.75096,-0.06731,-0.39456,-0.52522,
33.45313,0.13733,-3.35693,-3.10516,-0.12189,1.00665,-0.00726,,0.75075,-0.06731,-0.39476,-0.52537,
33.46094,-0.24796,-3.60107,-3.39127,-0.11334,1.00739,-0.00378,,0.75052,-0.06733,-0.39496,-0.52554,
33.46875,-0.49973,-3.24631,-3.16238,-0.11438,1.00861,-0.00201,,0.75030,-0.06736,-0.39514,-0.52571,
33.47656,-0.56076,-2.78091,-3.29208,-0.12128,1.01056,-0.00262,,0.75010,-0.06737,-0.39529,-0.52589,
33.48438,-0.24796,-3.15857,-3.30734,-0.12128,1.01068,-0.00568,,0.74988,-0.06738,-0.39547,-0.52606,
33.49219,0.03052,-3.07465,-3.29971,-0.11707,1.01233,-0.00446,,0.74967,-0.06737,-0.39565,-0.52623,
33.50000,0.27084,-2.37656,-3.23868,-0.12231,1.01733,-0.01331,,0.74948,-0.06733,-0.39581,-0.52638,
33.50781,0.35095,-2.24686,-2.95258,-0.12769,1.01788,-0.01617,,0.74931,-0.06728,-0.39596,-0.52652,
33.51563,0.58365,-4.26102,-2.69699,-0.13312,1.00085,-0.01575,,0.74909,-0.06730,-0.39623,-0.52663,
33.52344,0.98419,-5.37491,-2.68936,-0.11182,0.99896,-0.01740,,0.74884,-0.06734,-0.39656,-0.52673,
33.53125,0.99564,-5.40924,-2.40707,-0.11334,1.00476,-0.01849,,0.74860,-0.06739,-0.39690,-0.52681,
33.53906,1.21307,-5.58090,-2.25830,-0.11115,1.00940,-0.01709,,0.74836,-0.06744,-0.39725,-0.52687,
33.54688,1.14822,-5.10406,-2.35367,-0.10059,1.01129,-0.00641,,0.74814,-0.06747,-0.39757,-0.52695,
33.55469,0.94986,-4.63104,-2.16675,-0.10437,1.01215,-0.00336,,0.74793,-0.06750,-0.39787,-0.52702,
33.56250,1.20163,-4.32205,-2.18582,-0.11725,1.01721,-0.00165,,0.74773,-0.06751,-0.39815,-0.52709,
33.57031,0.99945,-3.30734,-2.30789,-0.12286,1.02112,-0.00183,,0.74755,-0.06749,-0.39838,-0.52717,
33.57813,0.92697,-3.34930,-2.14767,-0.12482,1.02063,-0.00012,,0.74737,-0.06747,-0.39861,-0.52725,
33.58594,1.13678,-3.74603,-2.23541,-0.12433,1.02057,-0.00531,,0.74719,-0.06746,-0.39886,-0.52733,
33.59375,0.91171,-4.15039,-1.78909,-0.13049,1.02307,-0.01111,,0.74700,-0.06748,-0.39912,-0.52738,
33.60156,0.97656,-4.28772,-1.61362,-0.12848,1.01849,-0.00946,,0.74682,-0.06751,-0.39940,-0.52743,
33.60938,0.94986,-4.62723,-1.70898,-0.12042,1.01428,-0.00604,,0.74663,-0.06756,-0.39969,-0.52748,
33.61719,1.17111,-4.69971,-1.59073,-0.12329,1.01678,-0.00555,,0.74644,-0.06759,-0.39999,-0.52752,
33.62500,0.91553,-4.66537,-1.55258,-0.12701,1.01636,-0.00507,,0.74625,-0.06764,-0.40028,-0.52756,
33.63281,0.52643,-4.65393,-1.74713,-0.12555,1.00916,0.00104,,0.74605,-0.06771,-0.40055,-0.52762,
33.64063,0.46921,-4.66156,-1.96838,-0.12347,1.00616,-0.00128,,0.74584,-0.06777,-0.40083,-0.52769,
33.64844,0.55313,-4.47845,-2.04086,-0.12616,1.00867,-0.00226,,0.74564,-0.06782,-0.40110,-0.52777,
33.65625,0.41580,-4.17709,-2.08282,-0.13013,1.01245,-0.00421,,0.74544,-0.06786,-0.40135,-0.52786,
33.66406,0.57220,-4.63867,-2.49481,-0.12469,1.01123,-0.00751,,0.74522,-0.06790,-0.40163,-0.52796,
33.67188,0.49210,-5.02396,-2.27356,-0.12518,1.01001,-0.00580,,0.74499,-0.06796,-0.40192,-0.52804,
33.67969,0.72861,-5.37491,-2.24686,-0.12329,1.00952,-0.01025,,0.74476,-0.06803,-0.40224,-0.52812,
33.68750,0.56839,-5.29480,-2.18582,-0.11603,1.00635,-0.00879,,0.74452,-0.06810,-0.40255,-0.52820,
33.69531,0.71335,-5.53131,-1.90735,-0.11688,1.00763,-0.01147,,0.74430,-0.06819,-0.40288,-0.52826,
33.70313,0.64087,-5.40543,-1.97983,-0.11426,1.00885,-0.00775,,0.74407,-0.06826,-0.40320,-0.52833,
33.71094,0.45776,-5.12695,-2.31552,-0.11017,1.01245,-0.00488,,0.74384,-0.06833,-0.40350,-0.52842,
33.71875,0.35858,-4.20761,-2.51770,-0.11163,1.01624,-0.00525,,0.74362,-0.06837,-0.40375,-0.52853,
33.72656,0.20599,-4.03595,-2.31552,-0.11505,1.01538,-0.00452,,0.74342,-0.06841,-0.40399,-0.52863,
33.73438,0.53406,-3.68118,-2.40326,-0.12189,1.01660,-0.00543,,0.74322,-0.06842,-0.40421,-0.52873,
33.74219,0.65613,-4.35257,-2.23541,-0.12408,1.00861,-0.00861,,0.74301,-0.06846,-0.40448,-0.52881,
33.75000,0.98801,-4.52805,-2.36511,-0.11908,1.00726,-0.00867,,0.74280,-0.06847,-0.40477,-0.52889,
33.75781,0.68665,-4.44031,-2.07901,-0.11658,1.00903,-0.00946,,0.74259,-0.06851,-0.40504,-0.52897,
