Gait Up - Physilog data export
Created on: 0000-00-00 03:15:48
Total data points: 961

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Event,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[],[],[],[],[],
41.57031,1.63651,-6.14166,-1.80817,0.06757,1.02502,-0.02783,,-0.17989,0.22272,0.22135,-0.93222,
41.57813,1.61743,-5.87463,-1.78909,0.06927,1.02374,-0.02563,,-0.17994,0.22230,0.22132,-0.93232,
41.58594,1.55640,-5.54276,-1.97983,0.06116,1.02319,-0.03076,,-0.18000,0.22189,0.22128,-0.93242,
41.59375,1.66321,-4.71878,-1.98746,0.05627,1.01843,-0.03748,,-0.18007,0.22154,0.22123,-0.93250,
41.60156,1.86157,-4.68063,-2.32697,0.05536,1.01477,-0.03583,,-0.18017,0.22118,0.22117,-0.93258,
41.60938,1.86539,-5.08881,-2.34604,0.05420,1.01660,-0.03754,,-0.18027,0.22079,0.22111,-0.93267,
41.61719,2.26212,-5.56564,-2.28500,0.05090,1.01654,-0.03809,,-0.18036,0.22037,0.22104,-0.93276,
41.62500,2.49100,-5.74493,-2.84195,0.05591,1.01892,-0.03345,,-0.18049,0.21992,0.22096,-0.93286,
41.63281,2.46048,-5.87845,-2.68936,0.05615,1.01910,-0.03186,,-0.18060,0.21948,0.22088,-0.93297,
41.64063,2.30789,-5.97000,-2.47192,0.05469,1.02051,-0.02863,,-0.18070,0.21903,0.22081,-0.93307,
41.64844,2.04086,-6.43158,-2.02560,0.05756,1.02106,-0.02924,,-0.18076,0.21856,0.22075,-0.93318,
41.65625,1.93787,-6.52695,-2.14386,0.05872,1.01904,-0.02814,,-0.18082,0.21808,0.22071,-0.93329,
41.66406,1.88065,-6.42014,-2.04849,0.05920,1.02045,-0.03064,,-0.18087,0.21761,0.22066,-0.93340,
41.67188,2.22778,-6.68335,-2.12860,0.06366,1.02429,-0.03583,,-0.18094,0.21712,0.22060,-0.93352,
41.67969,2.40326,-6.48117,-2.24304,0.06750,1.02185,-0.03448,,-0.18101,0.21664,0.22053,-0.93363,
41.68750,2.50626,-5.54276,-2.34222,0.06360,1.01599,-0.02979,,-0.18111,0.21622,0.22044,-0.93373,
41.69531,2.47192,-5.08499,-2.45285,0.06366,1.02161,-0.02899,,-0.18122,0.21582,0.22034,-0.93382,
41.70313,2.49481,-4.92859,-2.28119,0.06287,1.02277,-0.02808,,-0.18132,0.21544,0.22024,-0.93392,
41.71094,1.95694,-4.29916,-2.16293,0.06165,1.02557,-0.02844,,-0.18142,0.21510,0.22017,-0.93399,
41.71875,1.61362,-4.35257,-2.03705,0.06189,1.02191,-0.02924,,-0.18151,0.21477,0.22012,-0.93407,
41.72656,1.52206,-4.24194,-2.08282,0.06305,1.02008,-0.02704,,-0.18159,0.21444,0.22007,-0.93414,
41.73438,1.30081,-4.42886,-1.89972,0.05994,1.02258,-0.02783,,-0.18166,0.21411,0.22003,-0.93421,
41.74219,1.00708,-4.49753,-1.85394,0.06146,1.02283,-0.02496,,-0.18172,0.21378,0.22002,-0.93427,
41.75000,1.01852,-4.68445,-1.81580,0.06256,1.02252,-0.02448,,-0.18178,0.21344,0.22000,-0.93435,
41.75781,1.73569,-5.74112,-2.07901,0.05872,1.02264,-0.03467,,-0.18184,0.21301,0.21996,-0.93444,
41.76563,1.94168,-5.63049,-2.18201,0.05981,1.01843,-0.03009,,-0.18192,0.21259,0.21990,-0.93453,
41.77344,1.77002,-5.23376,-2.15530,0.06219,1.01843,-0.03326,,-0.18200,0.21220,0.21985,-0.93462,
41.78125,1.60980,-5.05829,-2.17056,0.05969,1.02148,-0.03351,,-0.18208,0.21182,0.21981,-0.93470,
41.78906,1.27411,-5.17273,-1.91879,0.05658,1.02460,-0.03296,,-0.18214,0.21144,0.21978,-0.93478,
41.79688,1.02234,-4.88663,-1.70135,0.06195,1.02002,-0.02808,,-0.18219,0.21108,0.21977,-0.93485,
41.80469,1.02615,-5.12314,-1.60217,0.06177,1.01996,-0.02710,,-0.18222,0.21072,0.21975,-0.93493,
41.81250,1.11008,-6.00433,-1.67465,0.05908,1.02704,-0.03619,,-0.18225,0.21029,0.21975,-0.93503,
41.82031,1.25504,-5.73349,-1.81961,0.06079,1.02197,-0.04083,,-0.18229,0.20988,0.21973,-0.93511,
41.82813,1.41907,-5.19180,-2.06757,0.06335,1.01617,-0.04028,,-0.18236,0.20949,0.21970,-0.93519,
41.83594,1.66321,-4.59290,-2.09427,0.06207,1.01520,-0.03369,,-0.18245,0.20914,0.21965,-0.93527,
41.84375,1.62125,-4.53568,-1.84250,0.06091,1.02301,-0.03418,,-0.18251,0.20880,0.21959,-0.93535,
41.85156,1.72806,-4.57382,-1.85013,0.06262,1.02209,-0.03204,,-0.18258,0.20845,0.21953,-0.93542,
41.85938,1.41144,-4.43268,-1.78909,0.05627,1.01849,-0.02979,,-0.18265,0.20812,0.21949,-0.93550,
41.86719,1.43814,-5.10025,-1.67465,0.05518,1.02277,-0.03131,,-0.18269,0.20775,0.21945,-0.93558,
41.87500,1.25122,-5.51605,-1.51825,0.05927,1.02380,-0.03217,,-0.18272,0.20735,0.21942,-0.93567,
41.88281,1.15204,-5.48172,-1.55640,0.05884,1.02112,-0.02887,,-0.18275,0.20696,0.21940,-0.93575,
41.89063,1.06049,-5.31769,-1.48773,0.05634,1.02057,-0.03259,,-0.18278,0.20658,0.21939,-0.93583,
41.89844,1.14441,-5.45502,-1.49918,0.05878,1.01941,-0.03204,,-0.18280,0.20619,0.21937,-0.93592,
41.90625,1.31989,-5.36346,-1.46103,0.06366,1.01917,-0.02979,,-0.18283,0.20580,0.21934,-0.93601,
41.91406,1.13297,-4.73785,-1.44958,0.06232,1.01984,-0.02936,,-0.18286,0.20546,0.21931,-0.93608,
41.92188,1.14441,-4.76456,-1.34277,0.06073,1.02173,-0.02966,,-0.18289,0.20512,0.21928,-0.93616,
41.92969,0.98038,-5.72205,-1.36185,0.05853,1.02734,-0.03687,,-0.18290,0.20471,0.21927,-0.93625,
41.93750,1.20163,-5.45502,-1.40762,0.05817,1.02008,-0.03943,,-0.18292,0.20432,0.21925,-0.93633,
41.94531,1.17111,-5.41306,-1.61743,0.05444,1.01703,-0.03754,,-0.18295,0.20393,0.21923,-0.93642,
41.95313,0.95749,-5.22232,-1.46103,0.05658,1.01874,-0.03839,,-0.18298,0.20356,0.21922,-0.93650,
41.96094,1.20926,-4.94003,-1.38474,0.05890,1.02057,-0.03851,,-0.18300,0.20321,0.21919,-0.93658,
41.96875,1.23978,-4.55475,-1.60217,0.05731,1.01910,-0.03296,,-0.18305,0.20287,0.21916,-0.93665,
41.97656,1.14441,-4.55856,-1.78528,0.05920,1.01978,-0.03357,,-0.18311,0.20253,0.21913,-0.93671,
41.98438,1.59454,-4.40216,-1.72806,0.05524,1.02161,-0.02856,,-0.18317,0.20220,0.21907,-0.93679,
41.99219,1.43814,-5.80215,-1.73950,0.05127,1.02557,-0.03149,,-0.18321,0.20178,0.21904,-0.93688,
42.00000,1.30844,-6.13785,-1.65176,0.05518,1.02356,-0.03497,,-0.18324,0.20134,0.21902,-0.93697,
42.00781,1.45340,-6.11877,-1.64795,0.05792,1.01447,-0.03369,,-0.18327,0.20090,0.21899,-0.93707,
42.01563,1.46103,-5.74112,-1.67847,0.05701,1.00769,-0.03351,,-0.18330,0.20049,0.21896,-0.93716,
42.02344,1.36185,-5.53894,-1.68991,0.05835,1.00983,-0.03204,,-0.18334,0.20009,0.21893,-0.93724,
42.03125,1.64413,-5.18799,-1.88828,0.05890,1.01727,-0.03339,,-0.18341,0.19970,0.21888,-0.93732,
42.03906,1.37329,-4.98581,-1.88065,0.05743,1.01703,-0.03448,,-0.18347,0.19933,0.21885,-0.93740,
42.04688,1.22452,-5.06973,-1.98746,0.05603,1.01654,-0.03564,,-0.18353,0.19896,0.21883,-0.93747,
42.05469,1.27029,-4.76456,-1.88828,0.05688,1.01477,-0.03229,,-0.18359,0.19860,0.21880,-0.93754,
42.06250,1.21307,-4.96674,-1.83105,0.05280,1.01880,-0.03448,,-0.18365,0.19824,0.21877,-0.93761,
42.07031,1.22452,-5.09262,-2.10190,0.05200,1.02112,-0.03418,,-0.18372,0.19786,0.21875,-0.93768,
42.07813,1.20544,-5.67627,-1.75476,0.05499,1.02985,-0.04156,,-0.18376,0.19745,0.21873,-0.93776,
42.08594,1.18637,-5.51224,-1.72043,0.05157,1.03577,-0.04211,,-0.18380,0.19705,0.21871,-0.93785,
42.09375,0.92316,-5.61905,-1.89972,0.05054,1.03430,-0.04193,,-0.18384,0.19665,0.21872,-0.93792,
42.10156,1.34659,-5.73349,-2.16293,0.05011,1.03369,-0.04059,,-0.18391,0.19623,0.21869,-0.93800,
42.10938,1.45340,-5.64957,-2.14386,0.05817,1.02942,-0.03571,,-0.18398,0.19581,0.21867,-0.93808,
42.11719,1.49536,-5.79453,-2.29645,0.05939,1.02643,-0.03235,,-0.18405,0.19538,0.21864,-0.93816,
42.12500,1.33514,-5.97000,-2.57874,0.05878,1.02386,-0.02875,,-0.18414,0.19494,0.21863,-0.93824,
42.13281,1.40762,-6.18362,-2.55585,0.06439,1.01691,-0.03009,,-0.18423,0.19448,0.21861,-0.93832,
42.14063,0.85068,-5.95856,-2.48718,0.06598,1.01599,-0.02643,,-0.18431,0.19405,0.21863,-0.93839,
42.14844,0.67902,-6.11877,-2.55203,0.06586,1.01721,-0.03265,,-0.18438,0.19360,0.21867,-0.93846,
42.15625,1.03378,-5.06973,-2.51007,0.06482,1.01483,-0.03168,,-0.18448,0.19322,0.21866,-0.93852,
42.16406,1.13297,-4.97818,-2.47192,0.06055,1.01080,-0.03497,,-0.18457,0.19285,0.21865,-0.93858,
42.17188,1.28174,-4.90952,-2.47574,0.05865,1.00952,-0.03302,,-0.18467,0.19247,0.21863,-0.93864,
42.17969,1.48392,-4.82941,-2.31171,0.05975,1.01428,-0.03284,,-0.18476,0.19211,0.21859,-0.93871,
42.18750,1.37711,-4.85229,-2.28882,0.05780,1.01563,-0.03491,,-0.18485,0.19174,0.21856,-0.93878,
42.19531,1.30844,-5.11551,-2.20871,0.05707,1.01733,-0.03491,,-0.18493,0.19136,0.21853,-0.93884,
42.20313,1.09482,-4.98581,-2.18201,0.05579,1.01477,-0.03638,,-0.18501,0.19098,0.21852,-0.93891,
42.21094,0.93842,-4.90952,-2.05612,0.05182,1.01776,-0.03461,,-0.18507,0.19062,0.21851,-0.93897,
42.21875,0.96893,-5.01251,-1.91498,0.05133,1.01819,-0.03381,,-0.18513,0.19025,0.21851,-0.93903,
