Gait Up - Physilog data export
Created on: 1990-01-05 00:10:01
Total data points: 1076

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Baro [64 hz],,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Pressure,Temperature,Event,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[mBar],[degree C],[],[],[],[],[],
4.85156,0.67139,-6.71387,-0.91553,-0.08203,1.03125,-0.01636,962.330,26.5,,0.70789,0.65709,0.23278,0.11377,
4.85938,0.54932,-6.28662,-0.85449,-0.07764,1.04346,-0.01514,,,,0.70797,0.65715,0.23252,0.11344,
4.86719,0.54932,-5.92041,-0.91553,-0.08228,1.04370,-0.01245,962.327,26.5,,0.70805,0.65721,0.23228,0.11312,
4.87500,0.48828,-5.37109,-1.09863,-0.07544,1.04248,-0.01123,,,,0.70812,0.65725,0.23207,0.11282,
4.88281,0.61035,-4.88281,-1.34277,-0.07520,1.03979,-0.00879,962.334,26.5,,0.70818,0.65730,0.23190,0.11253,
4.89063,0.61035,-4.76074,-0.97656,-0.07520,1.03809,-0.01025,,,,0.70823,0.65735,0.23172,0.11226,
4.89844,0.67139,-4.51660,-0.48828,-0.08398,1.03711,-0.00366,962.330,26.5,,0.70828,0.65741,0.23153,0.11202,
4.90625,0.61035,-4.88281,-0.48828,-0.08521,1.03662,-0.00537,,,,0.70833,0.65747,0.23132,0.11177,
4.91406,0.48828,-4.63867,-0.42725,-0.07935,1.03711,-0.00122,962.317,26.5,,0.70839,0.65752,0.23112,0.11153,
4.92188,0.18311,-4.69971,-0.24414,-0.07861,1.03589,-0.00146,,,,0.70845,0.65756,0.23090,0.11131,
4.92969,0.36621,-4.76074,-0.06104,-0.07642,1.03784,-0.00049,962.308,26.5,,0.70851,0.65761,0.23068,0.11109,
4.93750,0.42725,-4.45557,0.06104,-0.07788,1.03662,0.00195,,,,0.70856,0.65767,0.23046,0.11088,
4.94531,0.54932,-4.57764,0.00000,-0.07861,1.03638,0.00146,962.331,26.5,,0.70861,0.65773,0.23025,0.11067,
4.95313,0.67139,-4.69971,-0.24414,-0.07813,1.03857,0.00537,,,,0.70866,0.65779,0.23003,0.11044,
4.96094,0.54932,-4.76074,-0.42725,-0.07617,1.03613,0.00537,962.316,26.5,,0.70871,0.65785,0.22983,0.11019,
4.96875,0.73242,-4.21143,-0.18311,-0.07690,1.03760,0.00854,,,,0.70874,0.65791,0.22964,0.10998,
4.97656,0.79346,-4.27246,-0.12207,-0.07544,1.03931,0.01123,962.337,26.5,,0.70878,0.65798,0.22944,0.10977,
4.98438,0.91553,-4.21143,-0.24414,-0.07715,1.04028,0.00854,,,,0.70880,0.65806,0.22926,0.10956,
4.99219,0.79346,-3.66211,-0.30518,-0.07495,1.04272,0.01318,962.360,26.5,,0.70883,0.65812,0.22910,0.10937,
5.00000,0.48828,-3.17383,-0.30518,-0.07764,1.03760,0.01074,,,,0.70886,0.65816,0.22896,0.10920,
5.00781,0.42725,-2.99072,-0.48828,-0.07520,1.03418,0.01221,962.319,26.5,,0.70889,0.65819,0.22884,0.10904,
5.01563,0.42725,-2.56348,-1.15967,-0.07544,1.03491,0.01465,,,,0.70892,0.65822,0.22877,0.10886,
5.02344,0.67139,-2.38037,-1.09863,-0.08447,1.03271,0.01587,962.324,26.5,,0.70893,0.65825,0.22871,0.10869,
5.03125,0.73242,-2.50244,-1.15967,-0.08472,1.03149,0.01172,,,,0.70895,0.65829,0.22865,0.10851,
5.03906,0.97656,-2.74658,-1.28174,-0.08472,1.02881,0.01221,962.306,26.5,,0.70895,0.65833,0.22858,0.10831,
5.04688,1.40381,-3.23486,-0.85449,-0.08838,1.02344,0.01733,,,,0.70895,0.65841,0.22847,0.10810,
5.05469,1.70898,-3.60107,-0.61035,-0.08887,1.02466,0.01416,962.321,26.5,,0.70893,0.65851,0.22834,0.10789,
5.06250,2.25830,-4.02832,-0.36621,-0.08472,1.02881,0.01294,,,,0.70890,0.65864,0.22818,0.10765,
5.07031,2.25830,-4.08936,-0.61035,-0.08008,1.03760,0.02051,962.292,26.5,,0.70886,0.65877,0.22802,0.10740,
5.07813,2.25830,-3.96729,-0.61035,-0.07959,1.03687,0.01929,,,,0.70883,0.65890,0.22788,0.10716,
5.08594,2.13623,-3.60107,-0.91553,-0.07471,1.03564,0.01782,962.297,26.5,,0.70879,0.65902,0.22776,0.10692,
5.09375,1.95313,-2.62451,-1.95313,-0.07080,1.03467,0.01831,,,,0.70876,0.65910,0.22773,0.10668,
5.10156,1.83105,-2.44141,-2.19727,-0.07495,1.03613,0.01880,962.295,26.5,,0.70873,0.65917,0.22773,0.10644,
5.10938,1.52588,-2.01416,-2.68555,-0.08081,1.03516,0.01318,,,,0.70872,0.65922,0.22776,0.10619,
5.11719,1.40381,-1.83105,-2.56348,-0.08252,1.03833,0.00830,962.297,26.5,,0.70870,0.65926,0.22780,0.10596,
5.12500,0.97656,-2.19727,-2.44141,-0.07861,1.03735,0.00659,,,,0.70871,0.65929,0.22781,0.10573,
5.13281,0.85449,-2.62451,-2.38037,-0.07935,1.03906,0.00342,962.315,26.5,,0.70873,0.65931,0.22779,0.10549,
5.14063,0.73242,-2.44141,-2.50244,-0.08423,1.04224,-0.00195,,,,0.70875,0.65932,0.22779,0.10525,
5.14844,-0.06104,-2.38037,-2.31934,-0.09204,1.04370,-0.00342,962.308,26.5,,0.70881,0.65930,0.22778,0.10503,
5.15625,-0.36621,-2.86865,-2.01416,-0.09277,1.04150,-0.00122,,,,0.70888,0.65927,0.22773,0.10481,
5.16406,-0.54932,-3.90625,-1.77002,-0.09497,1.04297,0.00195,962.309,26.5,,0.70898,0.65925,0.22762,0.10455,
5.17188,-0.73242,-4.94385,-1.58691,-0.09839,1.04272,-0.00537,,,,0.70910,0.65922,0.22744,0.10427,
5.17969,-0.91553,-5.31006,-1.52588,-0.09912,1.04468,-0.00610,962.318,26.5,,0.70923,0.65919,0.22725,0.10397,
5.18750,-1.64795,-6.22559,-1.28174,-0.09814,1.04492,-0.00830,,,,0.70941,0.65914,0.22699,0.10365,
5.19531,-1.77002,-6.89697,-1.28174,-0.09229,1.03931,-0.00562,962.323,26.5,,0.70961,0.65908,0.22671,0.10331,
5.20313,-1.77002,-7.20215,-1.15967,-0.09448,1.03540,-0.00439,,,,0.70981,0.65903,0.22640,0.10296,
5.21094,-1.64795,-7.81250,-0.91553,-0.08838,1.03442,-0.00342,962.329,26.5,,0.71001,0.65899,0.22605,0.10259,
5.21875,-1.52588,-8.11768,-0.73242,-0.08569,1.02930,-0.00317,,,,0.71021,0.65896,0.22568,0.10221,
5.22656,-1.46484,-7.99561,-0.67139,-0.08276,1.02881,-0.00146,962.323,26.5,,0.71040,0.65894,0.22531,0.10184,
5.23438,-1.89209,-7.32422,-1.03760,-0.07715,1.03296,0.00342,,,,0.71060,0.65888,0.22499,0.10149,
5.24219,-1.64795,-6.71387,-1.28174,-0.07959,1.03223,0.00269,962.331,26.5,,0.71079,0.65883,0.22471,0.10115,
5.25000,-1.52588,-6.53076,-1.40381,-0.07910,1.02783,0.00293,,,,0.71097,0.65878,0.22444,0.10082,
5.25781,-0.91553,-6.34766,-1.77002,-0.07813,1.02441,0.00415,962.292,26.5,,0.71112,0.65875,0.22421,0.10046,
5.26563,-0.61035,-6.04248,-1.83105,-0.07813,1.02783,0.00537,,,,0.71125,0.65873,0.22399,0.10011,
5.27344,-0.61035,-5.98145,-1.64795,-0.08203,1.03076,0.00415,962.322,26.5,,0.71138,0.65872,0.22377,0.09977,
5.28125,-0.30518,-5.92041,-1.58691,-0.07837,1.03760,0.00635,,,,0.71149,0.65872,0.22356,0.09943,
5.28906,0.18311,-5.49316,-1.95313,-0.08105,1.03027,0.01050,962.337,26.5,,0.71158,0.65874,0.22338,0.09909,
5.29688,0.36621,-5.37109,-2.01416,-0.08301,1.03296,0.01343,,,,0.71166,0.65876,0.22321,0.09874,
5.30469,0.91553,-5.24902,-1.70898,-0.08716,1.02808,0.01807,962.343,26.5,,0.71171,0.65881,0.22304,0.09841,
5.31250,1.09863,-5.67627,-1.58691,-0.08667,1.02930,0.02100,,,,0.71176,0.65888,0.22284,0.09806,
5.32031,0.97656,-5.61523,-1.64795,-0.08276,1.03345,0.02246,962.322,26.5,,0.71181,0.65894,0.22265,0.09772,
5.32813,0.79346,-5.24902,-1.89209,-0.07520,1.03564,0.01636,,,,0.71187,0.65899,0.22248,0.09738,
5.33594,1.09863,-4.45557,-1.95313,-0.06787,1.03076,0.01221,962.332,26.5,,0.71190,0.65904,0.22236,0.09706,
5.34375,1.09863,-4.15039,-2.31934,-0.07202,1.03198,0.01196,,,,0.71193,0.65908,0.22227,0.09675,
5.35156,1.28174,-3.78418,-2.68555,-0.07300,1.03345,0.00806,962.336,26.5,,0.71195,0.65913,0.22222,0.09643,
5.35938,1.22070,-3.35693,-2.80762,-0.07324,1.03687,0.00757,,,,0.71196,0.65917,0.22219,0.09612,
5.36719,1.28174,-3.35693,-2.50244,-0.07617,1.03442,0.00757,962.329,26.5,,0.71197,0.65922,0.22215,0.09583,
5.37500,1.22070,-3.47900,-2.25830,-0.08081,1.03271,0.00708,,,,0.71198,0.65926,0.22209,0.09555,
5.38281,1.46484,-3.90625,-2.07520,-0.07861,1.03223,0.00684,962.333,26.5,,0.71199,0.65933,0.22200,0.09525,
5.39063,1.58691,-4.02832,-1.95313,-0.07935,1.03467,0.00732,,,,0.71199,0.65940,0.22190,0.09495,
5.39844,1.58691,-4.02832,-1.83105,-0.08228,1.03394,0.00977,962.316,26.5,,0.71199,0.65948,0.22180,0.09466,
5.40625,1.52588,-4.08936,-1.77002,-0.08569,1.03125,0.00757,,,,0.71200,0.65955,0.22169,0.09436,
5.41406,1.58691,-4.33350,-1.83105,-0.08667,1.02954,0.00732,962.335,26.5,,0.71200,0.65963,0.22157,0.09406,
