Gait Up - Physilog data export
Created on: 1990-01-05 00:10:01
Total data points: 963

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Baro [64 hz],,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Pressure,Temperature,Event,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[mBar],[degree C],[],[],[],[],[],
16.43750,0.00000,-12.20703,-2.38037,-0.05981,1.03125,0.04565,,,,0.89908,0.41746,0.13082,0.01632,
16.44531,0.18311,-11.77979,-2.50244,-0.05762,1.02686,0.04224,962.311,26.8,,0.89918,0.41748,0.13017,0.01583,
16.45313,0.48828,-11.04736,-2.19727,-0.04517,1.02124,0.04346,,,,0.89926,0.41751,0.12955,0.01538,
16.46094,1.03760,-9.70459,-2.07520,-0.03101,1.01636,0.04395,962.322,26.8,,0.89931,0.41757,0.12902,0.01497,
16.46875,1.03760,-8.42285,-2.01416,-0.02368,1.01807,0.03979,,,,0.89935,0.41764,0.12856,0.01460,
16.47656,0.91553,-7.81250,-1.52588,-0.02930,1.02588,0.04395,962.295,26.8,,0.89939,0.41770,0.12812,0.01428,
16.48438,0.73242,-7.93457,-1.83105,-0.03149,1.02759,0.03076,,,,0.89944,0.41774,0.12769,0.01394,
16.49219,1.15967,-6.65283,-2.13623,-0.02393,1.02979,0.03589,962.303,26.8,,0.89946,0.41781,0.12734,0.01361,
16.50000,1.77002,-5.12695,-1.52588,-0.02368,1.03149,0.03833,,,,0.89945,0.41792,0.12707,0.01336,
16.50781,2.01416,-3.47900,-1.15967,-0.03442,1.03271,0.03955,962.282,26.8,,0.89942,0.41805,0.12689,0.01317,
16.51563,2.44141,-2.13623,-1.40381,-0.03125,1.02783,0.04004,,,,0.89937,0.41820,0.12680,0.01300,
16.52344,2.80762,-1.09863,-1.03760,-0.03345,1.03052,0.04443,962.309,26.8,,0.89929,0.41837,0.12676,0.01289,
16.53125,3.11279,-0.24414,-0.36621,-0.03979,1.02905,0.05273,,,,0.89920,0.41857,0.12676,0.01283,
16.53906,3.60107,-0.18311,-0.30518,-0.05029,1.02490,0.06006,962.303,26.8,,0.89910,0.41880,0.12676,0.01278,
16.54688,3.84521,-0.24414,-0.06104,-0.05176,1.02637,0.06787,,,,0.89899,0.41904,0.12675,0.01274,
16.55469,3.11279,-0.06104,0.48828,-0.05737,1.03809,0.05811,962.316,26.8,,0.89889,0.41925,0.12673,0.01274,
16.56250,2.25830,0.36621,0.61035,-0.05688,1.03760,0.05322,,,,0.89882,0.41940,0.12674,0.01277,
16.57031,2.86865,0.00000,0.48828,-0.05615,1.02710,0.05664,962.328,26.8,,0.89873,0.41959,0.12673,0.01278,
16.57813,4.02832,-0.24414,0.61035,-0.05273,1.02954,0.04956,,,,0.89862,0.41985,0.12670,0.01277,
16.58594,4.21143,0.67139,0.79346,-0.06421,1.03711,0.05078,962.290,26.8,,0.89848,0.42013,0.12672,0.01281,
16.59375,4.27246,0.73242,0.54932,-0.06860,1.03613,0.05151,,,,0.89835,0.42040,0.12675,0.01283,
16.60156,4.27246,0.79346,-0.06104,-0.07739,1.03027,0.06128,962.290,26.8,,0.89822,0.42067,0.12680,0.01281,
16.60938,4.02832,1.09863,0.12207,-0.08521,1.02856,0.06128,,,,0.89809,0.42093,0.12687,0.01281,
16.61719,3.78418,1.22070,0.00000,-0.08545,1.03223,0.06714,962.271,26.8,,0.89796,0.42117,0.12695,0.01282,
16.62500,3.78418,0.97656,-0.06104,-0.08716,1.03516,0.05640,,,,0.89784,0.42141,0.12701,0.01281,
16.63281,2.01416,0.67139,-0.30518,-0.08350,1.03809,0.05127,962.298,26.8,,0.89777,0.42154,0.12706,0.01280,
16.64063,2.31934,0.30518,-0.42725,-0.08862,1.03345,0.05225,,,,0.89770,0.42168,0.12710,0.01276,
16.64844,2.68555,-0.79346,-0.79346,-0.08643,1.01880,0.04907,962.320,26.8,,0.89763,0.42185,0.12707,0.01267,
16.65625,2.86865,-1.40381,-0.67139,-0.08472,1.02417,0.05371,,,,0.89755,0.42203,0.12701,0.01256,
16.66406,2.99072,-2.01416,-0.48828,-0.08643,1.02637,0.05127,962.305,26.8,,0.89748,0.42222,0.12690,0.01245,
16.67188,3.11279,-2.50244,-1.15967,-0.08643,1.03271,0.05005,,,,0.89741,0.42241,0.12678,0.01228,
16.67969,2.99072,-2.62451,-1.89209,-0.08618,1.02930,0.05737,962.315,26.8,,0.89734,0.42259,0.12668,0.01207,
16.68750,2.92969,-2.31934,-2.01416,-0.08472,1.02881,0.05859,,,,0.89727,0.42277,0.12660,0.01185,
16.69531,2.62451,-0.67139,-1.89209,-0.08081,1.03296,0.05713,962.277,26.8,,0.89720,0.42292,0.12661,0.01170,
16.70313,3.05176,-0.54932,-1.83105,-0.07666,1.03540,0.06592,,,,0.89712,0.42310,0.12663,0.01154,
16.71094,2.86865,-0.54932,-2.13623,-0.07642,1.03491,0.06006,962.298,26.8,,0.89703,0.42327,0.12666,0.01137,
16.71875,2.74658,-1.34277,-2.68555,-0.07910,1.03760,0.05664,,,,0.89696,0.42342,0.12666,0.01115,
16.72656,1.34277,-3.11279,-3.17383,-0.07568,1.04248,0.04761,962.286,26.8,,0.89695,0.42349,0.12656,0.01085,
16.73438,1.03760,-3.54004,-3.96729,-0.07544,1.03467,0.04565,,,,0.89695,0.42353,0.12646,0.01050,
16.74219,0.85449,-3.54004,-4.45557,-0.07788,1.02856,0.03857,962.291,26.8,,0.89695,0.42356,0.12637,0.01012,
16.75000,1.15967,-2.31934,-4.21143,-0.07446,1.03662,0.03979,,,,0.89694,0.42360,0.12635,0.00979,
16.75781,1.03760,-1.64795,-4.02832,-0.07300,1.03857,0.03711,962.302,26.8,,0.89692,0.42364,0.12637,0.00949,
16.76563,0.97656,-1.28174,-4.02832,-0.07813,1.03906,0.04272,,,,0.89690,0.42368,0.12641,0.00920,
16.77344,1.46484,-2.01416,-4.02832,-0.07617,1.03906,0.04565,962.307,26.8,,0.89688,0.42374,0.12640,0.00888,
16.78125,1.40381,-2.13623,-3.84521,-0.07324,1.03955,0.04980,,,,0.89685,0.42381,0.12638,0.00857,
16.78906,1.03760,-1.22070,-3.35693,-0.06714,1.04932,0.05005,962.284,26.8,,0.89683,0.42385,0.12640,0.00833,
16.79688,0.85449,-1.77002,-2.62451,-0.07031,1.04053,0.04028,,,,0.89682,0.42389,0.12637,0.00811,
16.80469,0.42725,-1.77002,-2.80762,-0.07178,1.03467,0.04297,962.325,26.8,,0.89682,0.42390,0.12634,0.00788,
16.81250,0.36621,-2.99072,-3.05176,-0.07153,1.03003,0.04834,,,,0.89683,0.42391,0.12625,0.00761,
16.82031,-0.67139,-3.29590,-3.05176,-0.06763,1.03613,0.03735,962.300,26.8,,0.89687,0.42386,0.12613,0.00733,
16.82813,-0.79346,-3.60107,-2.80762,-0.06812,1.03345,0.04346,,,,0.89692,0.42379,0.12599,0.00707,
16.83594,-0.36621,-4.45557,-2.31934,-0.06885,1.02295,0.04321,962.304,26.8,,0.89697,0.42376,0.12579,0.00680,
16.84375,0.06104,-4.82178,-2.38037,-0.07568,1.03320,0.04102,,,,0.89701,0.42376,0.12556,0.00652,
16.85156,-0.24414,-4.57764,-2.13623,-0.08276,1.03125,0.03345,962.317,26.8,,0.89705,0.42374,0.12534,0.00626,
16.85938,0.30518,-4.76074,-1.77002,-0.08521,1.03125,0.03540,,,,0.89708,0.42375,0.12510,0.00601,
16.86719,0.91553,-5.85938,-1.70898,-0.07861,1.02588,0.03955,962.317,26.8,,0.89710,0.42381,0.12479,0.00573,
16.87500,0.79346,-5.79834,-1.64795,-0.07666,1.02905,0.03882,,,,0.89712,0.42385,0.12449,0.00546,
16.88281,-0.42725,-5.06592,-1.09863,-0.07715,1.04199,0.03296,962.299,26.8,,0.89717,0.42383,0.12421,0.00525,
16.89063,-0.24414,-5.55420,-1.22070,-0.07568,1.03320,0.02783,,,,0.89722,0.42382,0.12390,0.00502,
16.89844,0.42725,-5.43213,-1.64795,-0.06372,1.01807,0.02856,962.293,26.8,,0.89725,0.42384,0.12362,0.00476,
16.90625,0.79346,-5.61523,-1.09863,-0.06445,1.01953,0.03540,,,,0.89727,0.42389,0.12330,0.00452,
16.91406,0.85449,-5.85938,-0.85449,-0.07178,1.02466,0.03735,962.303,26.8,,0.89729,0.42395,0.12297,0.00430,
16.92188,1.03760,-6.04248,-0.91553,-0.07544,1.03271,0.03955,,,,0.89731,0.42401,0.12263,0.00406,
16.92969,1.09863,-6.10352,-0.85449,-0.07739,1.03052,0.04419,962.303,26.8,,0.89732,0.42409,0.12228,0.00382,
16.93750,1.52588,-6.71387,-1.09863,-0.07495,1.02734,0.04175,,,,0.89733,0.42418,0.12190,0.00355,
16.94531,0.30518,-5.43213,-0.73242,-0.06616,1.04419,0.03857,962.277,26.8,,0.89736,0.42420,0.12159,0.00335,
16.95313,0.06104,-5.55420,-0.36621,-0.06860,1.04443,0.03198,,,,0.89740,0.42422,0.12126,0.00317,
16.96094,0.97656,-6.16455,-1.03760,-0.06250,1.03833,0.03564,962.282,26.8,,0.89742,0.42428,0.12091,0.00292,
16.96875,1.34277,-5.85938,-0.91553,-0.06104,1.02881,0.04565,,,,0.89742,0.42436,0.12058,0.00268,
16.97656,1.28174,-5.55420,-0.73242,-0.06055,1.03345,0.04761,962.297,26.8,,0.89743,0.42445,0.12026,0.00247,
16.98438,1.52588,-5.31006,-0.54932,-0.05737,1.03711,0.04980,,,,0.89742,0.42455,0.11995,0.00227,
16.99219,1.40381,-4.51660,-0.36621,-0.05640,1.03296,0.04272,962.287,26.8,,0.89741,0.42464,0.11968,0.00211,
17.00000,1.34277,-4.27246,-0.18311,-0.05566,1.03174,0.04663,,,,0.89741,0.42473,0.11942,0.00196,
17.00781,0.91553,-2.99072,-0.06104,-0.06177,1.03369,0.04761,962.299,26.8,,0.89740,0.42480,0.11924,0.00187,
