Gait Up - Physilog data export
Created on: 0000-00-03 23:03:49
Total data points: 1076

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Event,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[],[],[],[],[],
20.44531,8.44955,-16.42609,4.09317,-0.12274,0.99438,0.00391,,0.86056,0.28807,-0.16501,-0.38630,
20.45313,8.86536,-17.17758,3.89862,-0.12482,0.98572,0.01324,,0.86029,0.28811,-0.16633,-0.38631,
20.46094,9.01794,-17.17377,3.53622,-0.11798,0.98846,0.01727,,0.86000,0.28816,-0.16765,-0.38634,
20.46875,9.14764,-16.38031,3.05176,-0.10748,1.00317,0.02197,,0.85971,0.28824,-0.16891,-0.38638,
20.47656,9.79233,-15.59067,3.49426,-0.10248,1.01019,0.00800,,0.85942,0.28838,-0.17015,-0.38636,
20.48438,9.75418,-15.11383,3.73840,-0.09143,1.00262,0.00537,,0.85915,0.28852,-0.17137,-0.38633,
20.49219,8.62122,-12.58087,4.42505,-0.07623,0.99847,0.00708,,0.85894,0.28866,-0.17243,-0.38621,
20.50000,7.43866,-8.75854,4.90570,-0.09497,1.00146,0.01056,,0.85882,0.28882,-0.17324,-0.38601,
20.50781,6.79779,-6.64139,4.44031,-0.11859,1.00488,0.01978,,0.85872,0.28901,-0.17390,-0.38580,
20.51563,6.57654,-5.85938,4.03976,-0.12805,1.00140,0.02844,,0.85862,0.28920,-0.17450,-0.38560,
20.52344,6.23703,-4.74548,3.45230,-0.14093,1.00116,0.04089,,0.85852,0.28942,-0.17501,-0.38542,
20.53125,5.63049,-3.98636,2.44522,-0.15332,1.00739,0.05103,,0.85842,0.28963,-0.17544,-0.38529,
20.53906,5.39780,-3.58200,1.70135,-0.15710,1.01105,0.05444,,0.85831,0.28984,-0.17583,-0.38519,
20.54688,4.36783,-3.03650,0.45776,-0.16986,1.01367,0.05237,,0.85820,0.29003,-0.17613,-0.38517,
20.55469,4.24576,-2.91443,-0.22125,-0.16968,1.01239,0.05017,,0.85807,0.29022,-0.17641,-0.38519,
20.56250,4.22287,-3.62778,-0.52643,-0.16766,1.01379,0.04260,,0.85792,0.29039,-0.17673,-0.38524,
20.57031,4.62341,-4.50897,-0.86594,-0.16870,1.01611,0.03320,,0.85775,0.29057,-0.17710,-0.38533,
20.57813,4.04358,-5.67245,-1.32370,-0.16211,1.02051,0.01978,,0.85756,0.29068,-0.17751,-0.38547,
20.58594,3.84903,-5.90897,-1.25885,-0.15930,1.01904,0.01746,,0.85737,0.29078,-0.17794,-0.38561,
20.59375,3.59726,-6.72531,-1.55640,-0.14661,1.01013,0.01410,,0.85717,0.29085,-0.17840,-0.38579,
20.60156,3.59344,-8.02994,-1.47247,-0.14526,1.00928,0.01642,,0.85696,0.29088,-0.17893,-0.38599,
20.60938,3.39508,-8.81958,-1.48392,-0.13971,1.00897,0.02203,,0.85674,0.29088,-0.17951,-0.38621,
20.61719,2.78854,-9.57489,-1.73950,-0.13947,1.01105,0.02350,,0.85652,0.29083,-0.18011,-0.38647,
20.62500,2.71606,-10.16617,-1.92261,-0.13916,1.00891,0.01965,,0.85628,0.29075,-0.18074,-0.38675,
20.63281,2.70844,-9.94873,-1.86157,-0.12982,1.00891,0.01801,,0.85605,0.29069,-0.18136,-0.38702,
20.64063,2.51389,-9.29260,-1.41907,-0.11975,1.00708,0.01923,,0.85584,0.29062,-0.18194,-0.38726,
20.64844,2.57874,-8.99506,-1.56403,-0.11731,1.00378,0.01605,,0.85563,0.29057,-0.18251,-0.38749,
20.65625,2.53677,-8.82721,-1.60980,-0.11530,1.00714,0.01801,,0.85543,0.29052,-0.18306,-0.38773,
20.66406,2.51770,-8.97598,-1.12534,-0.11670,1.01105,0.01434,,0.85523,0.29045,-0.18363,-0.38794,
20.67188,2.01797,-8.45718,-1.50299,-0.11469,1.01282,0.01343,,0.85504,0.29038,-0.18415,-0.38817,
20.67969,2.05231,-8.58688,-1.35803,-0.11554,1.01001,0.01685,,0.85485,0.29030,-0.18469,-0.38839,
20.68750,2.18582,-8.98743,-1.28937,-0.10883,1.00854,0.01636,,0.85465,0.29022,-0.18525,-0.38862,
20.69531,2.29645,-8.31985,-1.17111,-0.09674,1.01263,0.01636,,0.85446,0.29017,-0.18577,-0.38882,
20.70313,1.87683,-7.11060,-0.87357,-0.10651,1.01062,0.01605,,0.85431,0.29011,-0.18622,-0.38899,
20.71094,1.43051,-6.19125,-1.01471,-0.10962,1.01007,0.01862,,0.85417,0.29006,-0.18660,-0.38915,
20.71875,1.45340,-5.48553,-1.23978,-0.10901,1.00684,0.02112,,0.85403,0.29003,-0.18694,-0.38931,
20.72656,1.40381,-5.05066,-1.10626,-0.11420,1.00549,0.02039,,0.85391,0.29000,-0.18725,-0.38946,
20.73438,1.78528,-4.93622,-1.05286,-0.12012,1.00732,0.01703,,0.85377,0.29000,-0.18757,-0.38960,
20.74219,2.06757,-5.56183,-0.80872,-0.12952,1.00311,0.01794,,0.85364,0.29000,-0.18794,-0.38973,
20.75000,1.69373,-6.19888,-0.90408,-0.13055,1.00446,0.01886,,0.85349,0.28996,-0.18833,-0.38988,
20.75781,1.49536,-6.78253,-1.16348,-0.13068,1.00873,0.01471,,0.85334,0.28990,-0.18874,-0.39006,
20.76563,1.31989,-7.39670,-1.04904,-0.12750,1.01050,0.02075,,0.85318,0.28981,-0.18919,-0.39025,
20.77344,1.34277,-7.71713,-1.03378,-0.11926,1.01575,0.02368,,0.85303,0.28971,-0.18966,-0.39045,
20.78125,1.34659,-7.69043,-1.19400,-0.11609,1.01947,0.01978,,0.85286,0.28961,-0.19012,-0.39065,
20.78906,1.07193,-5.81360,-1.31607,-0.11237,1.02924,0.01215,,0.85273,0.28955,-0.19046,-0.39083,
20.79688,0.63705,-4.44031,-1.64795,-0.11743,1.02319,0.01685,,0.85261,0.28950,-0.19071,-0.39100,
20.80469,0.74005,-4.22668,-2.01416,-0.11621,1.01880,0.01630,,0.85248,0.28947,-0.19094,-0.39119,
20.81250,0.75531,-3.19672,-2.13242,-0.11749,1.02386,0.00806,,0.85236,0.28947,-0.19111,-0.39137,
20.82031,1.07956,-2.91824,-1.72043,-0.13159,1.02332,0.00653,,0.85225,0.28950,-0.19127,-0.39151,
20.82813,1.65939,-3.67737,-1.61743,-0.13489,1.01642,0.00543,,0.85212,0.28953,-0.19150,-0.39166,
20.83594,1.92642,-4.76074,-1.70898,-0.12054,1.00842,0.01123,,0.85197,0.28955,-0.19180,-0.39182,
20.84375,1.82343,-4.61578,-1.59073,-0.12042,1.02051,0.00604,,0.85182,0.28957,-0.19209,-0.39198,
20.85156,1.60217,-4.07791,-1.76620,-0.12323,1.02478,0.00793,,0.85168,0.28959,-0.19234,-0.39214,
20.85938,1.40762,-4.62341,-1.80435,-0.12604,1.01190,0.01459,,0.85154,0.28959,-0.19261,-0.39232,
20.86719,1.45340,-5.16129,-2.18964,-0.11621,1.00745,0.01794,,0.85138,0.28958,-0.19291,-0.39253,
20.87500,1.30081,-5.16510,-2.18201,-0.12195,1.01422,0.01782,,0.85122,0.28956,-0.19321,-0.39274,
20.88281,1.09100,-5.18417,-2.25067,-0.12421,1.01239,0.01605,,0.85107,0.28953,-0.19349,-0.39296,
20.89063,0.72861,-4.70352,-2.55966,-0.11823,1.01080,0.01038,,0.85092,0.28949,-0.19374,-0.39319,
20.89844,1.41525,-4.81033,-2.32697,-0.11963,1.01294,0.00763,,0.85076,0.28949,-0.19401,-0.39340,
20.90625,1.30463,-4.87518,-1.96838,-0.12634,1.01050,0.00543,,0.85061,0.28947,-0.19430,-0.39359,
20.91406,1.33514,-5.32150,-2.19727,-0.12036,1.00415,0.00153,,0.85045,0.28945,-0.19460,-0.39381,
20.92188,1.55640,-5.38635,-1.95694,-0.11615,1.01019,0.00238,,0.85029,0.28944,-0.19492,-0.39401,
20.92969,1.38855,-6.09207,-1.80435,-0.11609,1.01105,0.00153,,0.85013,0.28939,-0.19528,-0.39421,
20.93750,1.39999,-5.92804,-2.08282,-0.11493,1.01373,0.00452,,0.84996,0.28936,-0.19562,-0.39443,
20.94531,1.02997,-6.14166,-1.61743,-0.11731,1.00922,0.01019,,0.84981,0.28929,-0.19598,-0.39463,
20.95313,0.86212,-6.07300,-1.55258,-0.11694,1.00995,0.01160,,0.84966,0.28921,-0.19632,-0.39483,
20.96094,1.23596,-6.11877,-1.66702,-0.11298,1.01337,0.00513,,0.84950,0.28915,-0.19668,-0.39503,
20.96875,1.00708,-5.20325,-1.39236,-0.10986,1.01227,0.00488,,0.84937,0.28910,-0.19699,-0.39520,
20.97656,1.08337,-4.66156,-1.35803,-0.10913,1.01337,0.00140,,0.84925,0.28907,-0.19726,-0.39536,
20.98438,0.80109,-4.84467,-1.43051,-0.12598,1.00732,0.00562,,0.84912,0.28902,-0.19754,-0.39552,
20.99219,1.30463,-5.11932,-1.57166,-0.12653,1.00867,0.00598,,0.84898,0.28899,-0.19784,-0.39570,
21.00000,1.35422,-5.39780,-1.65176,-0.12195,1.01105,0.00525,,0.84883,0.28896,-0.19816,-0.39588,
21.00781,1.30844,-5.52368,-1.58691,-0.11566,1.01019,0.00830,,0.84868,0.28893,-0.19849,-0.39606,
21.01563,1.38474,-5.43976,-1.16348,-0.12073,1.00983,0.00946,,0.84854,0.28889,-0.19882,-0.39622,
21.02344,1.39999,-5.56564,-1.05286,-0.12366,1.00861,0.00745,,0.84841,0.28885,-0.19917,-0.39637,
21.03125,1.38855,-5.27954,-1.03378,-0.12421,1.00781,0.01050,,0.84827,0.28881,-0.19949,-0.39651,
21.03906,1.38855,-4.66156,-0.88501,-0.12689,1.00793,0.01239,,0.84815,0.28880,-0.19978,-0.39664,
21.04688,1.27029,-4.76074,-0.77057,-0.12842,1.00897,0.01306,,0.84804,0.28876,-0.20008,-0.39676,
21.05469,1.25122,-4.69589,-0.68283,-0.13574,1.01050,0.00696,,0.84792,0.28873,-0.20038,-0.39687,
21.06250,1.48773,-5.58853,-0.65994,-0.13385,1.00470,0.00940,,0.84779,0.28869,-0.20073,-0.39700,
21.07031,1.38855,-5.98145,-0.80490,-0.12012,1.00146,0.01056,,0.84766,0.28864,-0.20110,-0.39714,
21.07813,1.25504,-5.82123,-0.88882,-0.11871,1.00433,0.01074,,0.84752,0.28858,-0.20146,-0.39729,
21.08594,0.88882,-5.48935,-0.92316,-0.12341,1.00476,0.00952,,0.84740,0.28851,-0.20178,-0.39744,
21.09375,1.02234,-5.50842,-1.46866,-0.12378,1.00568,0.01501,,0.84726,0.28845,-0.20210,-0.39762,
