Gait Up - Physilog data export
Created on: 1990-01-05 00:10:01
Total data points: 1132

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Baro [64 hz],,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Pressure,Temperature,Event,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[mBar],[degree C],[],[],[],[],[],
27.47656,2.25830,-10.00977,-4.21143,-0.00903,1.04834,-0.01343,962.304,27.1,,0.97723,0.20426,0.05222,-0.02393,
27.48438,2.13623,-10.31494,-3.84521,-0.02148,1.04517,-0.00366,,,,0.97722,0.20440,0.05159,-0.02433,
27.49219,2.01416,-11.41357,-3.29590,-0.03418,1.02612,0.01465,962.295,27.1,,0.97722,0.20454,0.05087,-0.02472,
27.50000,1.46484,-12.57324,-3.11279,-0.02710,1.02148,0.01196,,,,0.97724,0.20463,0.05007,-0.02510,
27.50781,1.40381,-13.36670,-3.05176,-0.02393,1.01685,0.00659,962.292,27.1,,0.97725,0.20472,0.04922,-0.02549,
27.51563,1.40381,-13.30566,-2.25830,-0.01025,1.00806,0.00244,,,,0.97727,0.20481,0.04836,-0.02583,
27.52344,1.15967,-12.08496,-1.40381,-0.01196,1.02124,-0.02393,962.275,27.1,,0.97728,0.20489,0.04757,-0.02610,
27.53125,0.85449,-11.35254,-1.22070,-0.01270,1.02905,-0.04712,,,,0.97730,0.20495,0.04683,-0.02634,
27.53906,0.06104,-9.64355,-1.03760,-0.00977,1.01782,-0.05249,962.284,27.1,,0.97732,0.20496,0.04620,-0.02654,
27.54688,0.42725,-9.46045,-0.91553,0.00122,1.00977,-0.04395,,,,0.97733,0.20500,0.04558,-0.02673,
27.55469,0.48828,-9.27734,-0.67139,-0.00024,1.01416,-0.03979,962.260,27.1,,0.97735,0.20504,0.04497,-0.02691,
27.56250,0.48828,-8.97217,-0.18311,-0.00977,1.02271,-0.02979,,,,0.97736,0.20509,0.04437,-0.02705,
27.57031,0.42725,-8.54492,-0.30518,-0.01807,1.03125,-0.02588,962.308,27.1,,0.97738,0.20513,0.04381,-0.02718,
27.57813,0.36621,-8.54492,-0.18311,-0.01953,1.03589,-0.02246,,,,0.97739,0.20517,0.04324,-0.02732,
27.58594,0.36621,-9.33838,0.00000,-0.03198,1.03735,-0.02783,962.306,27.1,,0.97741,0.20520,0.04261,-0.02745,
27.59375,0.79346,-10.13184,-0.30518,-0.03613,1.04175,-0.03345,,,,0.97742,0.20526,0.04194,-0.02761,
27.60156,0.97656,-9.76563,-0.30518,-0.03662,1.04712,-0.03662,962.306,27.1,,0.97742,0.20534,0.04129,-0.02777,
27.60938,0.67139,-9.15527,-0.48828,-0.04150,1.04639,-0.04395,,,,0.97743,0.20540,0.04069,-0.02793,
27.61719,0.30518,-8.78906,-1.03760,-0.03320,1.04858,-0.05811,962.289,27.1,,0.97745,0.20543,0.04012,-0.02812,
27.62500,-0.24414,-8.30078,-1.40381,-0.03027,1.04883,-0.06152,,,,0.97746,0.20542,0.03958,-0.02833,
27.63281,0.36621,-6.83594,-1.46484,-0.02881,1.03638,-0.06030,962.277,27.1,,0.97747,0.20546,0.03915,-0.02852,
27.64063,0.73242,-4.94385,-1.83105,-0.01953,1.03271,-0.05737,,,,0.97746,0.20552,0.03884,-0.02871,
27.64844,0.61035,-3.90625,-1.89209,-0.02222,1.03760,-0.05029,962.282,27.1,,0.97745,0.20558,0.03861,-0.02889,
27.65625,0.67139,-2.86865,-2.25830,-0.04761,1.04248,-0.04590,,,,0.97744,0.20564,0.03844,-0.02908,
27.66406,0.18311,-2.31934,-2.74658,-0.05908,1.04492,-0.04248,962.285,27.1,,0.97743,0.20567,0.03833,-0.02930,
27.67188,0.18311,-2.74658,-3.05176,-0.05664,1.03735,-0.03809,,,,0.97742,0.20570,0.03819,-0.02954,
27.67969,0.42725,-3.78418,-3.47900,-0.05957,1.03760,-0.03564,962.302,27.1,,0.97741,0.20574,0.03798,-0.02982,
27.68750,0.30518,-4.69971,-3.17383,-0.06128,1.03662,-0.04272,,,,0.97741,0.20577,0.03772,-0.03010,
27.69531,0.36621,-5.55420,-2.92969,-0.05127,1.04053,-0.04370,962.291,27.1,,0.97741,0.20581,0.03739,-0.03037,
27.70313,0.42725,-6.16455,-2.56348,-0.01196,1.03711,-0.04956,,,,0.97740,0.20585,0.03701,-0.03063,
27.71094,0.73242,-5.49316,-1.89209,-0.00708,1.03491,-0.04346,962.304,27.1,,0.97740,0.20591,0.03667,-0.03083,
27.71875,0.48828,-4.57764,-2.01416,-0.01367,1.04028,-0.03809,,,,0.97739,0.20596,0.03639,-0.03103,
27.72656,0.67139,-3.66211,-2.01416,-0.03369,1.03638,-0.04419,962.275,27.1,,0.97738,0.20602,0.03617,-0.03122,
27.73438,0.00000,-3.96729,-2.44141,-0.03931,1.02832,-0.04419,,,,0.97738,0.20603,0.03594,-0.03144,
27.74219,0.00000,-4.15039,-2.62451,-0.03784,1.02783,-0.04492,962.265,27.1,,0.97738,0.20605,0.03570,-0.03167,
27.75000,-0.18311,-3.96729,-2.68555,-0.03809,1.03516,-0.04541,,,,0.97738,0.20605,0.03547,-0.03190,
27.75781,-0.91553,-4.33350,-2.50244,-0.05444,1.03296,-0.04663,962.289,27.1,,0.97739,0.20600,0.03522,-0.03213,
27.76563,-0.67139,-4.88281,-2.44141,-0.06201,1.02905,-0.04468,,,,0.97740,0.20597,0.03493,-0.03235,
27.77344,-0.48828,-6.28662,-2.50244,-0.04688,1.02344,-0.04053,962.318,27.1,,0.97741,0.20595,0.03455,-0.03261,
27.78125,-0.30518,-6.89697,-2.01416,-0.04102,1.03369,-0.04932,,,,0.97742,0.20594,0.03412,-0.03284,
27.78906,-0.24414,-6.89697,-1.89209,-0.03857,1.03662,-0.05225,962.268,27.1,,0.97743,0.20593,0.03369,-0.03306,
27.79688,0.12207,-6.16455,-2.07520,-0.02368,1.04321,-0.05029,,,,0.97743,0.20595,0.03330,-0.03328,
27.80469,0.30518,-4.63867,-2.07520,-0.02759,1.04907,-0.04614,962.296,27.1,,0.97742,0.20598,0.03302,-0.03348,
27.81250,0.36621,-4.02832,-2.19727,-0.03687,1.04858,-0.04810,,,,0.97742,0.20602,0.03278,-0.03369,
27.82031,0.36621,-3.41797,-2.68555,-0.04199,1.04370,-0.05444,962.274,27.1,,0.97741,0.20606,0.03259,-0.03391,
27.82813,0.00000,-3.35693,-2.86865,-0.04346,1.04614,-0.05249,,,,0.97740,0.20608,0.03241,-0.03415,
27.83594,0.42725,-4.15039,-2.80762,-0.05054,1.04126,-0.05078,962.313,27.1,,0.97739,0.20612,0.03217,-0.03439,
27.84375,0.12207,-4.88281,-2.44141,-0.05493,1.03613,-0.05322,,,,0.97739,0.20614,0.03188,-0.03462,
27.85156,0.54932,-6.28662,-2.50244,-0.05615,1.03369,-0.05054,962.326,27.1,,0.97738,0.20619,0.03150,-0.03488,
27.85938,0.85449,-7.08008,-2.31934,-0.03516,1.03418,-0.04883,,,,0.97737,0.20625,0.03105,-0.03513,
27.86719,0.79346,-7.20215,-2.13623,-0.02979,1.03613,-0.04785,962.339,27.1,,0.97737,0.20631,0.03060,-0.03538,
27.87500,0.73242,-7.01904,-2.19727,-0.02612,1.03809,-0.05005,,,,0.97736,0.20637,0.03016,-0.03562,
27.88281,0.85449,-6.59180,-2.38037,-0.01978,1.03223,-0.05225,962.303,27.1,,0.97735,0.20644,0.02975,-0.03588,
27.89063,0.79346,-5.55420,-2.44141,-0.01758,1.03418,-0.05835,,,,0.97734,0.20650,0.02942,-0.03612,
27.89844,0.18311,-4.15039,-2.62451,-0.02759,1.03809,-0.06250,962.282,27.1,,0.97733,0.20653,0.02918,-0.03635,
27.90625,0.42725,-4.57764,-3.11279,-0.04004,1.02710,-0.06030,,,,0.97732,0.20657,0.02891,-0.03662,
27.91406,0.30518,-4.45557,-3.23486,-0.03882,1.02637,-0.05542,962.301,27.1,,0.97731,0.20660,0.02866,-0.03690,
27.92188,0.12207,-4.94385,-3.05176,-0.04053,1.02637,-0.05737,,,,0.97730,0.20662,0.02837,-0.03717,
27.92969,0.06104,-5.18799,-2.92969,-0.04346,1.03052,-0.05298,962.315,27.1,,0.97730,0.20663,0.02807,-0.03744,
27.93750,0.12207,-5.55420,-2.86865,-0.04907,1.02783,-0.04492,,,,0.97729,0.20665,0.02774,-0.03771,
27.94531,0.30518,-6.10352,-3.11279,-0.04346,1.03223,-0.04370,962.307,27.1,,0.97729,0.20668,0.02738,-0.03800,
27.95313,0.12207,-5.49316,-2.68555,-0.03564,1.03833,-0.04077,,,,0.97728,0.20670,0.02705,-0.03825,
27.96094,0.24414,-4.94385,-2.68555,-0.03516,1.03589,-0.04248,962.266,27.1,,0.97728,0.20672,0.02675,-0.03850,
27.96875,0.48828,-5.00488,-3.35693,-0.03247,1.03003,-0.04834,,,,0.97726,0.20677,0.02647,-0.03880,
27.97656,0.73242,-4.63867,-2.99072,-0.03125,1.03540,-0.05493,962.264,27.1,,0.97725,0.20683,0.02620,-0.03906,
27.98438,0.48828,-4.08936,-2.80762,-0.02637,1.04468,-0.05957,,,,0.97723,0.20687,0.02596,-0.03931,
27.99219,-0.06104,-2.80762,-2.44141,-0.03027,1.05127,-0.06079,962.266,27.1,,0.97723,0.20689,0.02581,-0.03951,
28.00000,0.48828,-3.17383,-2.31934,-0.03564,1.03076,-0.06104,,,,0.97721,0.20694,0.02563,-0.03971,
28.00781,0.54932,-3.35693,-2.62451,-0.03467,1.03076,-0.05737,962.300,27.1,,0.97720,0.20699,0.02544,-0.03993,
28.01563,0.18311,-3.35693,-2.50244,-0.03809,1.05029,-0.05664,,,,0.97719,0.20702,0.02525,-0.04014,
28.02344,0.79346,-4.63867,-2.86865,-0.04761,1.03784,-0.04907,962.285,27.1,,0.97717,0.20708,0.02498,-0.04040,
