Gait Up - Physilog data export
Created on: 0000-00-04 07:10:55
Total data points: 726

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Event,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[],[],[],[],[],
62.05469,0.78201,-5.29099,-1.41144,-0.03827,-0.05438,1.00409,,-0.90527,-0.00234,-0.24225,-0.34899,
62.06250,0.85068,-5.51987,-1.22070,-0.04156,-0.05481,1.00641,,-0.90540,-0.00250,-0.24191,-0.34890,
62.07031,0.85831,-5.74875,-1.17493,-0.04382,-0.05463,1.00861,,-0.90552,-0.00266,-0.24155,-0.34882,
62.07813,0.81635,-6.10733,-1.15967,-0.04590,-0.05896,1.01172,,-0.90566,-0.00283,-0.24117,-0.34873,
62.08594,0.78583,-6.32858,-1.35422,-0.04156,-0.06061,1.00726,,-0.90580,-0.00301,-0.24077,-0.34864,
62.09375,0.85068,-6.25992,-1.49536,-0.04150,-0.05414,1.00360,,-0.90594,-0.00318,-0.24038,-0.34853,
62.10156,0.76294,-6.30569,-1.60217,-0.03784,-0.05066,1.00806,,-0.90609,-0.00335,-0.23998,-0.34842,
62.10938,0.72861,-6.27518,-1.62888,-0.03333,-0.04358,1.00934,,-0.90624,-0.00351,-0.23958,-0.34831,
62.11719,0.80490,-5.86700,-1.49536,-0.03510,-0.04156,1.00812,,-0.90638,-0.00367,-0.23922,-0.34820,
62.12500,0.92697,-5.51987,-1.57166,-0.03040,-0.04266,1.00873,,-0.90651,-0.00383,-0.23887,-0.34809,
62.13281,0.91553,-5.39780,-1.62125,-0.02832,-0.04480,1.00989,,-0.90664,-0.00398,-0.23853,-0.34798,
62.14063,0.85449,-5.27191,-1.55640,-0.03619,-0.05646,1.00873,,-0.90677,-0.00413,-0.23820,-0.34787,
62.14844,0.72479,-5.26428,-1.57547,-0.03876,-0.06213,1.00507,,-0.90690,-0.00427,-0.23787,-0.34776,
62.15625,0.80490,-5.29480,-1.59454,-0.04071,-0.06018,1.00543,,-0.90703,-0.00442,-0.23754,-0.34765,
62.16406,0.78201,-5.39017,-1.57928,-0.04187,-0.05469,1.00726,,-0.90716,-0.00456,-0.23720,-0.34754,
62.17188,0.71335,-5.36346,-1.61362,-0.03821,-0.05322,1.00690,,-0.90729,-0.00470,-0.23686,-0.34742,
62.17969,0.79727,-5.34439,-1.54877,-0.03857,-0.05408,1.00885,,-0.90742,-0.00485,-0.23652,-0.34732,
62.18750,0.70953,-5.30624,-1.56403,-0.03906,-0.05023,1.01074,,-0.90755,-0.00499,-0.23618,-0.34721,
62.19531,0.71716,-5.35965,-1.32751,-0.03723,-0.04651,1.00812,,-0.90767,-0.00514,-0.23584,-0.34711,
62.20313,0.74768,-5.45120,-1.54495,-0.03485,-0.04346,1.00757,,-0.90780,-0.00528,-0.23550,-0.34701,
62.21094,0.89264,-5.52750,-1.62506,-0.03650,-0.04865,1.00775,,-0.90793,-0.00544,-0.23515,-0.34689,
62.21875,0.99564,-5.43213,-1.78528,-0.03223,-0.04858,1.01117,,-0.90807,-0.00560,-0.23482,-0.34676,
62.22656,0.86212,-5.54657,-1.66321,-0.03418,-0.04858,1.00897,,-0.90820,-0.00575,-0.23447,-0.34665,
62.23438,0.84686,-5.50842,-1.54877,-0.03925,-0.05060,1.01080,,-0.90833,-0.00590,-0.23412,-0.34654,
62.24219,0.83923,-5.39398,-1.59454,-0.03461,-0.05817,1.00714,,-0.90846,-0.00605,-0.23378,-0.34642,
62.25000,0.82016,-5.47791,-1.65558,-0.03455,-0.06281,1.00647,,-0.90859,-0.00620,-0.23344,-0.34631,
62.25781,0.74387,-5.37109,-1.60599,-0.03375,-0.06342,1.00476,,-0.90872,-0.00635,-0.23310,-0.34620,
62.26563,0.92316,-5.57709,-1.75095,-0.03394,-0.05804,1.00470,,-0.90886,-0.00650,-0.23275,-0.34607,
62.27344,0.90408,-5.31387,-1.73569,-0.03760,-0.05597,1.00537,,-0.90899,-0.00665,-0.23242,-0.34595,
62.28125,0.87357,-4.93240,-1.86539,-0.03601,-0.05121,1.00739,,-0.90911,-0.00679,-0.23211,-0.34582,
62.28906,0.76294,-4.98199,-1.93787,-0.03967,-0.04657,1.00635,,-0.90924,-0.00692,-0.23180,-0.34569,
62.29688,0.80872,-4.82178,-1.93024,-0.04224,-0.04474,1.00861,,-0.90937,-0.00705,-0.23149,-0.34555,
62.30469,0.78201,-4.79126,-1.87683,-0.03882,-0.04510,1.01044,,-0.90950,-0.00717,-0.23119,-0.34542,
62.31250,0.83542,-5.02396,-1.51062,-0.03827,-0.04553,1.00940,,-0.90962,-0.00732,-0.23087,-0.34532,
62.32031,0.79346,-5.25665,-1.56021,-0.03741,-0.04718,1.00885,,-0.90974,-0.00746,-0.23054,-0.34521,
62.32813,0.80109,-5.14603,-1.62125,-0.03723,-0.05005,1.00806,,-0.90986,-0.00760,-0.23022,-0.34509,
62.33594,0.77438,-5.16510,-1.53732,-0.03235,-0.05615,1.00714,,-0.90999,-0.00774,-0.22989,-0.34498,
62.34375,0.67520,-5.06592,-1.68610,-0.02887,-0.05481,1.00659,,-0.91011,-0.00787,-0.22957,-0.34487,
62.35156,0.73242,-4.98962,-1.56403,-0.03479,-0.05463,1.00684,,-0.91023,-0.00801,-0.22925,-0.34476,
62.35938,0.74005,-4.85992,-1.62506,-0.03857,-0.05756,1.00519,,-0.91035,-0.00814,-0.22895,-0.34464,
62.36719,0.85449,-4.97818,-1.76620,-0.04175,-0.05768,1.00726,,-0.91047,-0.00827,-0.22863,-0.34452,
62.37500,0.81635,-4.82941,-1.74713,-0.04236,-0.05566,1.00769,,-0.91060,-0.00841,-0.22833,-0.34440,
62.38281,0.87357,-5.12695,-1.93787,-0.04285,-0.04913,1.00854,,-0.91073,-0.00855,-0.22801,-0.34426,
62.39063,0.85068,-5.11551,-1.85013,-0.03870,-0.04565,1.00745,,-0.91085,-0.00869,-0.22769,-0.34413,
62.39844,0.92316,-5.16891,-1.77383,-0.03589,-0.04828,1.00867,,-0.91098,-0.00883,-0.22737,-0.34401,
62.40625,0.89264,-5.18799,-1.78146,-0.04028,-0.05084,1.00885,,-0.91111,-0.00898,-0.22704,-0.34388,
62.41406,0.82397,-5.34821,-1.57928,-0.03516,-0.05017,1.00726,,-0.91123,-0.00913,-0.22670,-0.34377,
62.42188,0.77057,-5.34439,-1.51825,-0.03119,-0.04803,1.00769,,-0.91136,-0.00927,-0.22637,-0.34366,
62.42969,0.91934,-5.40161,-1.56784,-0.03766,-0.05164,1.01080,,-0.91148,-0.00943,-0.22603,-0.34355,
62.43750,0.75150,-5.12695,-1.77002,-0.03638,-0.05951,1.00574,,-0.91161,-0.00956,-0.22571,-0.34342,
62.44531,0.90027,-5.03540,-1.85394,-0.03235,-0.05914,1.00824,,-0.91173,-0.00970,-0.22539,-0.34329,
62.45313,0.80872,-5.12314,-1.86920,-0.03741,-0.05463,1.00751,,-0.91186,-0.00984,-0.22507,-0.34316,
62.46094,0.86975,-5.32532,-1.79672,-0.04443,-0.05029,1.00763,,-0.91199,-0.00998,-0.22473,-0.34303,
62.46875,0.91171,-5.45120,-1.75095,-0.04272,-0.04877,1.01099,,-0.91212,-0.01014,-0.22439,-0.34291,
62.47656,0.90790,-5.30624,-1.80435,-0.03961,-0.04810,1.00635,,-0.91225,-0.01028,-0.22406,-0.34278,
62.48438,0.78964,-5.24139,-1.60599,-0.04175,-0.05548,1.00922,,-0.91237,-0.01043,-0.22373,-0.34267,
62.49219,0.66376,-5.42450,-1.50299,-0.04370,-0.05682,1.00714,,-0.91249,-0.01057,-0.22339,-0.34256,
62.50000,0.76675,-5.39780,-1.53732,-0.03949,-0.05524,1.00592,,-0.91261,-0.01071,-0.22305,-0.34245,
62.50781,0.76675,-5.26810,-1.72043,-0.03229,-0.05579,1.00623,,-0.91274,-0.01085,-0.22271,-0.34233,
62.51563,0.85449,-5.17654,-1.68228,-0.03119,-0.05884,1.00836,,-0.91286,-0.01099,-0.22239,-0.34221,
62.52344,0.97275,-5.19562,-1.60980,-0.03308,-0.05859,1.00793,,-0.91298,-0.01115,-0.22207,-0.34209,
62.53125,0.86975,-5.22995,-1.79672,-0.03259,-0.05420,1.00854,,-0.91311,-0.01129,-0.22174,-0.34196,
62.53906,0.94986,-4.92096,-1.89590,-0.02991,-0.05261,1.00763,,-0.91323,-0.01143,-0.22143,-0.34183,
62.54688,1.00327,-5.02014,-1.85013,-0.03137,-0.05280,1.00800,,-0.91335,-0.01158,-0.22112,-0.34170,
62.55469,0.81635,-4.95529,-1.69754,-0.03229,-0.05334,1.00647,,-0.91347,-0.01171,-0.22081,-0.34158,
62.56250,0.90408,-4.90952,-1.49536,-0.03406,-0.05505,1.00787,,-0.91359,-0.01186,-0.22050,-0.34147,
62.57031,0.90027,-4.89044,-1.43814,-0.03613,-0.05444,1.00897,,-0.91370,-0.01200,-0.22019,-0.34136,
62.57813,0.75912,-4.99344,-1.35422,-0.03540,-0.04871,1.00702,,-0.91381,-0.01214,-0.21988,-0.34126,
62.58594,0.97656,-4.61578,-1.50299,-0.04004,-0.04468,1.01123,,-0.91392,-0.01228,-0.21959,-0.34115,
62.59375,0.89264,-4.73785,-1.59836,-0.04388,-0.04523,1.00989,,-0.91403,-0.01242,-0.21929,-0.34104,
62.60156,0.83923,-4.63867,-1.54114,-0.04468,-0.04639,1.00781,,-0.91414,-0.01255,-0.21900,-0.34093,
62.60938,0.80109,-4.86755,-1.48010,-0.04114,-0.04968,1.01001,,-0.91425,-0.01269,-0.21870,-0.34082,
62.61719,0.82397,-5.13840,-1.33133,-0.03931,-0.05023,1.01019,,-0.91436,-0.01283,-0.21837,-0.34072,
62.62500,0.83542,-5.51987,-1.23978,-0.04065,-0.05133,1.00793,,-0.91448,-0.01299,-0.21803,-0.34063,
62.63281,0.96893,-5.96237,-1.41907,-0.03021,-0.05481,1.00934,,-0.91460,-0.01316,-0.21765,-0.34052,
62.64063,0.91553,-5.76782,-1.64413,-0.02722,-0.05658,1.00769,,-0.91473,-0.01332,-0.21729,-0.34040,
62.64844,0.94604,-5.21851,-1.86920,-0.03516,-0.05792,1.00580,,-0.91486,-0.01347,-0.21697,-0.34027,
62.65625,0.86212,-4.98581,-1.94931,-0.03534,-0.05750,1.00653,,-0.91498,-0.01360,-0.21666,-0.34013,
62.66406,0.88120,-4.89044,-2.02560,-0.03351,-0.05823,1.00610,,-0.91510,-0.01374,-0.21635,-0.33999,
62.67188,0.83542,-5.02014,-1.87302,-0.04175,-0.06091,1.00653,,-0.91522,-0.01387,-0.21603,-0.33985,
