Gait Up - Physilog data export
Created on: 1990-01-05 00:10:01
Total data points: 1033

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Baro [64 hz],,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Pressure,Temperature,Event,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[mBar],[degree C],[],[],[],[],[],
40.60938,5.55420,-19.10400,6.16455,-0.07666,1.04468,0.05713,,,,0.98187,-0.07529,-0.09920,-0.14291,
40.61719,5.49316,-19.04297,6.28662,-0.07886,1.03735,0.06348,962.316,27.3,,0.98183,-0.07510,-0.10050,-0.14236,
40.62500,5.06592,-18.85986,5.79834,-0.08130,1.04443,0.06958,,,,0.98179,-0.07494,-0.10178,-0.14185,
40.63281,4.51660,-18.49365,5.43213,-0.07397,1.04443,0.06055,962.310,27.3,,0.98173,-0.07481,-0.10304,-0.14137,
40.64063,4.21143,-17.21191,5.24902,-0.07129,1.04468,0.05420,,,,0.98169,-0.07468,-0.10421,-0.14090,
40.64844,3.29590,-14.70947,4.45557,-0.06104,1.05542,0.03809,962.287,27.3,,0.98164,-0.07459,-0.10521,-0.14051,
40.65625,2.19727,-14.52637,2.99072,-0.06836,1.04663,0.03223,,,,0.98158,-0.07455,-0.10619,-0.14023,
40.66406,2.44141,-14.40430,2.07520,-0.06641,1.03467,0.02783,962.293,27.3,,0.98151,-0.07450,-0.10717,-0.14000,
40.67188,2.56348,-12.45117,0.36621,-0.06226,1.02832,0.02905,,,,0.98144,-0.07440,-0.10803,-0.13990,
40.67969,3.11279,-9.52148,-0.18311,-0.06958,1.03345,0.02319,962.287,27.3,,0.98138,-0.07424,-0.10870,-0.13985,
40.68750,2.92969,-8.66699,-0.67139,-0.07178,1.03467,0.02271,,,,0.98133,-0.07407,-0.10932,-0.13983,
40.69531,2.62451,-7.50732,-2.25830,-0.07129,1.02783,0.01782,962.300,27.3,,0.98127,-0.07390,-0.10986,-0.13993,
40.70313,1.64795,-5.55420,-2.86865,-0.06567,1.03052,0.01685,,,,0.98121,-0.07378,-0.11027,-0.14009,
40.71094,1.15967,-5.55420,-3.05176,-0.06396,1.03564,0.01099,962.278,27.3,,0.98115,-0.07369,-0.11067,-0.14026,
40.71875,1.22070,-7.87354,-2.99072,-0.07202,1.03589,0.00830,,,,0.98107,-0.07361,-0.11122,-0.14042,
40.72656,1.64795,-10.19287,-3.41797,-0.06372,1.02783,0.01196,962.294,27.3,,0.98097,-0.07353,-0.11194,-0.14059,
40.73438,1.89209,-10.98633,-3.11279,-0.05737,1.03296,0.02002,,,,0.98086,-0.07343,-0.11272,-0.14074,
40.74219,2.56348,-12.20703,-1.77002,-0.05127,1.05103,-0.00098,962.298,27.3,,0.98077,-0.07332,-0.11357,-0.14078,
40.75000,3.17383,-14.46533,-0.91553,-0.05005,1.04614,-0.00220,,,,0.98067,-0.07319,-0.11458,-0.14075,
40.75781,3.47900,-15.31982,-0.85449,-0.03760,1.03662,0.00464,962.289,27.3,,0.98056,-0.07305,-0.11565,-0.14071,
40.76563,3.29590,-15.80811,-0.30518,-0.01196,1.04150,0.00488,,,,0.98045,-0.07294,-0.11674,-0.14063,
40.77344,3.78418,-14.83154,0.18311,-0.00903,1.04370,0.00684,962.328,27.3,,0.98035,-0.07278,-0.11778,-0.14052,
40.78125,3.84521,-14.40430,0.00000,-0.00708,1.04346,0.01099,,,,0.98025,-0.07262,-0.11878,-0.14043,
40.78906,3.84521,-12.51221,-0.12207,-0.00732,1.04590,0.01123,962.314,27.3,,0.98017,-0.07243,-0.11966,-0.14035,
40.79688,3.78418,-11.59668,-0.12207,-0.01270,1.04907,0.00903,,,,0.98010,-0.07224,-0.12048,-0.14027,
40.80469,3.66211,-10.92529,0.06104,-0.01318,1.04370,0.01147,962.296,27.3,,0.98003,-0.07206,-0.12125,-0.14019,
40.81250,3.78418,-10.55908,1.03760,-0.02734,1.03003,0.01733,,,,0.97997,-0.07187,-0.12200,-0.14005,
40.82031,3.96729,-9.58252,1.28174,-0.03320,1.03345,0.02173,962.313,27.3,,0.97992,-0.07166,-0.12267,-0.13989,
40.82813,3.90625,-9.39941,1.52588,-0.03955,1.03687,0.02222,,,,0.97988,-0.07145,-0.12334,-0.13971,
40.83594,4.27246,-9.88770,1.83105,-0.04443,1.03271,0.02710,962.295,27.3,,0.97984,-0.07123,-0.12403,-0.13951,
40.84375,4.08936,-10.00977,1.46484,-0.03076,1.03467,0.03271,,,,0.97979,-0.07102,-0.12474,-0.13934,
40.85156,3.72314,-10.49805,1.58691,-0.03052,1.03491,0.03149,962.313,27.3,,0.97973,-0.07084,-0.12547,-0.13916,
40.85938,3.17383,-9.64355,0.91553,-0.03223,1.04663,0.02295,,,,0.97967,-0.07068,-0.12615,-0.13903,
40.86719,2.80762,-8.23975,0.91553,-0.03271,1.05444,0.01831,962.326,27.3,,0.97963,-0.07053,-0.12673,-0.13891,
40.87500,2.74658,-7.26318,0.85449,-0.03613,1.05322,0.02173,,,,0.97959,-0.07038,-0.12724,-0.13880,
40.88281,3.23486,-5.92041,0.91553,-0.03955,1.04810,0.02148,962.304,27.3,,0.97956,-0.07018,-0.12767,-0.13869,
40.89063,3.54004,-5.98145,0.85449,-0.04810,1.04053,0.02002,,,,0.97954,-0.06996,-0.12810,-0.13858,
40.89844,3.54004,-6.16455,0.73242,-0.05054,1.03833,0.02246,962.304,27.3,,0.97951,-0.06974,-0.12855,-0.13848,
40.90625,2.31934,-6.46973,0.48828,-0.04517,1.03809,0.01343,,,,0.97947,-0.06961,-0.12900,-0.13840,
40.91406,1.58691,-6.28662,0.36621,-0.04785,1.04028,0.00903,962.327,27.3,,0.97943,-0.06952,-0.12944,-0.13834,
40.92188,1.58691,-6.40869,-0.06104,-0.04370,1.03711,0.01270,,,,0.97938,-0.06942,-0.12989,-0.13830,
40.92969,1.34277,-5.98145,-0.24414,-0.04370,1.03467,0.01929,962.274,27.3,,0.97933,-0.06934,-0.13031,-0.13829,
40.93750,1.03760,-5.85938,-0.36621,-0.05273,1.03174,0.02417,,,,0.97928,-0.06928,-0.13071,-0.13828,
40.94531,0.79346,-5.37109,-0.79346,-0.04590,1.04834,0.02515,962.317,27.3,,0.97923,-0.06922,-0.13109,-0.13831,
40.95313,1.40381,-5.43213,-0.79346,-0.04199,1.05273,0.01294,,,,0.97918,-0.06913,-0.13147,-0.13833,
40.96094,1.58691,-6.40869,-1.28174,-0.03809,1.04150,0.00903,962.300,27.3,,0.97912,-0.06902,-0.13193,-0.13838,
40.96875,1.70898,-6.10352,-1.22070,-0.04004,1.03784,0.00464,,,,0.97907,-0.06891,-0.13236,-0.13842,
40.97656,1.22070,-5.31006,-1.09863,-0.04077,1.04321,-0.00146,962.293,27.3,,0.97902,-0.06882,-0.13274,-0.13847,
40.98438,0.61035,-5.49316,-0.61035,-0.05688,1.04541,-0.00342,,,,0.97896,-0.06878,-0.13312,-0.13848,
40.99219,0.97656,-7.26318,-0.79346,-0.05566,1.02808,-0.01147,962.305,27.3,,0.97890,-0.06873,-0.13362,-0.13850,
41.00000,1.22070,-8.23975,-0.79346,-0.04932,1.03027,-0.00879,,,,0.97882,-0.06867,-0.13419,-0.13851,
41.00781,1.58691,-9.76563,-0.12207,-0.04517,1.02710,-0.00464,962.309,27.3,,0.97874,-0.06861,-0.13487,-0.13846,
41.01563,1.52588,-10.31494,-0.12207,-0.03857,1.02637,0.00000,,,,0.97865,-0.06856,-0.13557,-0.13842,
41.02344,1.52588,-10.19287,-0.24414,-0.03711,1.03174,0.00317,962.276,27.3,,0.97856,-0.06851,-0.13627,-0.13838,
41.03125,1.52588,-9.70459,-0.12207,-0.03638,1.03467,0.01294,,,,0.97848,-0.06845,-0.13694,-0.13833,
41.03906,1.03760,-8.54492,-0.67139,-0.03101,1.03784,0.01709,962.287,27.3,,0.97840,-0.06841,-0.13753,-0.13834,
41.04688,0.61035,-7.93457,-1.03760,-0.02856,1.04663,0.01050,,,,0.97832,-0.06839,-0.13808,-0.13837,
41.05469,0.79346,-8.54492,-1.58691,-0.04077,1.04419,0.00732,962.294,27.3,,0.97823,-0.06836,-0.13867,-0.13843,
41.06250,0.91553,-8.60596,-1.52588,-0.04199,1.03027,0.01025,,,,0.97814,-0.06832,-0.13926,-0.13849,
41.07031,1.03760,-8.48389,-0.97656,-0.04565,1.03125,0.01270,962.291,27.3,,0.97806,-0.06827,-0.13985,-0.13852,
41.07813,0.85449,-8.66699,-0.73242,-0.05078,1.04175,0.01563,,,,0.97797,-0.06824,-0.14044,-0.13852,
41.08594,0.85449,-9.09424,-1.28174,-0.04785,1.04150,0.01172,962.313,27.3,,0.97788,-0.06821,-0.14107,-0.13857,
41.09375,0.67139,-9.03320,-1.64795,-0.04712,1.04004,0.00781,,,,0.97778,-0.06819,-0.14169,-0.13864,
41.10156,0.36621,-8.36182,-2.19727,-0.04297,1.04126,0.01147,962.320,27.3,,0.97768,-0.06818,-0.14226,-0.13875,
41.10938,-0.24414,-8.42285,-2.38037,-0.04346,1.03833,0.01025,,,,0.97758,-0.06821,-0.14284,-0.13888,
41.11719,-0.06104,-8.42285,-2.68555,-0.04199,1.03418,0.01392,962.337,27.3,,0.97747,-0.06822,-0.14342,-0.13902,
41.12500,-0.12207,-8.54492,-3.05176,-0.04541,1.04443,0.01440,,,,0.97736,-0.06823,-0.14401,-0.13920,
41.13281,-0.97656,-8.30078,-2.68555,-0.06006,1.04150,0.01050,962.304,27.3,,0.97725,-0.06830,-0.14457,-0.13935,
41.14063,-1.22070,-8.11768,-2.86865,-0.06689,1.03857,0.00928,,,,0.97714,-0.06839,-0.14511,-0.13953,
41.14844,-1.09863,-8.85010,-2.99072,-0.06396,1.03198,0.00977,962.351,27.3,,0.97702,-0.06847,-0.14571,-0.13970,
